review/summary,num_letters
great,5
user friend headset,17
great headset,12
overal good headset,17
h winner,7
final someth advertis,19
ok,2
work well,8
excel,5
lot static uncomfort wear glass,27
motorola h bluetooth headset,25
h first time user,14
audrey review,12
h,1
perform advert littl short rang,27
awesom bluetooth headset,22
bad batteri,10
use headset work,14
absolut garbag,13
decent audio bypass cell,21
good bluetooth devi,17
great nine month,14
bluetooth headset,16
devic doe work,12
look like work like charm,21
unsatisfi,9
great headset,12
great headset,12
great item,9
nice good wire headset,19
work great,9
motorola h bluetooth headset,25
ah better,8
big dissapoint major recogn brand,29
year,4
great size qualiti,16
awesom headset,13
devic durabl piec crap coupl month usag,33
best bluetooth,13
talk longer without recharg,24
sexi design short function,23
use item,7
h,1
sorri say hear,12
headset dream come true cingular owner,33
decent headset predecessor better,30
issu caus find better bluetooth headset,34
disappoint,10
unpreced design,14
extrem comfort easi use,20
veri disappoint,14
easi use,7
great earphon,12
bluetooth speak soft,18
return,6
bad experi,9
come usb charg cabl,16
close quit,9
hold lot use,10
ok uncomfort,11
nice price,9
best valu bluetooth headset,24
h bluetooth,10
live hype,8
return,6
get pay,6
noth get excit,12
recommend trash,14
low sound low tech,15
piec crap,8
motorola h defect receipt,22
good bluetooth,13
great headset garbag charg connector,32
great,5
comfort perform,14
total loss,9
h bluetooth,10
motorola h bluetooth headset,25
motorola h bluetooth headset,25
veri durabl,10
awesom headset,13
work advertis,12
life saver,9
substandard,11
best one,7
great servic,11
better averag,12
big,3
motorola h headset,16
veri happi,9
awesom,6
sound qualiti unaccept,20
big,3
terribl echo purchas,18
piec crap,8
practic unus,11
work treo,8
h bluetooth headset,17
could better fit,14
disappoint,10
ripoff never got,14
dont wast money get h instead,24
use h moto e love,13
motorola h bluetooth headset,25
one mani star,11
doe work ear,10
amaz,4
good month,9
veri good,8
good bluetooth earpiec,20
almost perfect,13
awesom,6
bluetooth,9
ok,2
disappoint littl hope refund,25
well design except volum,21
work veri well need replac week,26
motorola h bluetooth headset,25
fantastic product work great,25
great headset,12
motorola h bluetooth headset,25
work great,9
h headset,8
motorola h,9
good product,11
bluetooth ear piec,16
good headset,11
great headset,12
love flip mic,11
good recept good rang,18
outdoor bt headset,16
much better jabra bt,17
problem volum overal great bt headset,32
veri impress,11
h razr v great pair,15
good product,11
averag review right low volum,25
loud enough,10
love use cell phone skype,21
pretti good use v,14
want experi like deaf mute,22
motorola h review,15
good enough price,15
poor volum rugged,15
use car,6
light enough forget wear,21
high qualiti afford headset,24
terribl audio,12
motorola h stay ear,16
excel,5
last three half month,18
good valu,8
realli surpris,13
great money,10
stupid charger,13
tunnel bare hear,14
say drop call,11
great product great price,22
garrbag,7
sent back,8
motorola h bluetooth head set bulk packag,35
blue h,5
leo flynn,8
lot background nois ok general,26
bulk packag counterfeit,21
blue tooth,9
awesom,6
look great sound well hear anyth,27
volum motorola get right,21
meh,3
motorola h bluetooth headset,25
okay product,11
work well far le shortcom bluetooth headset,37
everyth work,11
make sound muffl hard hear,22
work fine,8
unless igo stuff get,17
igo tip devic requir frequent travel,31
mediocr built miss function,24
snug bug,7
poor qualiti servic,17
protect,7
smoke silicon skin case motorola razr,32
never got,8
nice job,7
expect,6
cheap servic,11
high recommend,13
nice product,11
eforc smoke silicon skin case motorola,33
best look cell phone case ever seen,29
best look cell phone case ever seen,29
good basic phone,14
simpl effect,11
basic cell phone last die breed cingular att,37
unimpress,9
doe awnser first tri sometim veri slow navig,37
volum control,12
nokia great avoid one,18
overal good,10
hear,4
disappoint nokia custom keypad awkward slow,38
omgzz lyk teenag,14
rington keypad,13
buy valu hear,11
good great nokia use,17
nice phone,9
great littl nokia,15
work,4
good simpl phone,14
took get use,10
style nokia phone,15
veri good basic phone,18
great phone cheap price,20
pretti good littl phone,20
doe fit well,10
good,4
defect,6
great iphon case,14
work,4
happi custom,11
glad found,9
comfort fit,10
great cover horribl phone,22
excel replac batteri,18
great phone except key lock suck,27
wast money one,12
get pay,6
believ cheap,11
cell phone replac batteri,22
good product fair price,20
work advertis,12
blackberri screen protestor,25
happi camper,11
great idea,9
junk,4
repres,6
great littl add soni ericsson phone,30
must ipod commut blue tooth mobil phone,33
doe work zen micro,15
solid product,12
soni car charger,14
nokia,5
great,5
review,6
great product,12
cell phone usb data sync cabl,24
nice product exel price,20
cabl work great,13
fbus cabl,8
bst soni standard batteri,22
great servic poor qualiti product,29
soni ericsson bst standard batteri,30
great batteri,12
perfect,7
soni ericsson batteri,19
blew,4
sad,3
ship okay product question,23
stay away,8
onli,4
recevi batteri bad condit,22
pay new batteri sent blantant use one,31
good,4
awesom batteri great packag time deliveri,36
price shop el,11
bst,3
work pretti good,14
mine lame,8
work,4
veri bad replac batteri buy,23
work,4
great batteri life,16
work like origin,14
wast batteri,11
mah va lous,9
soni batteri,11
veri happi,9
job,3
cell phone batteri,16
great servic,11
great communic,13
excel product,12
great product servic,18
work fine,8
batteri work great,16
work great,9
great batteri price quick,22
pretti good,10
expect,6
doe hold charg,12
batteri,7
sam,3
purchas,7
excel price oem batteri,20
great,5
soni ericsson batteri soni ericsson w w z z,35
good origin,10
satisfi purchas,14
work great especi price,20
work,4
batteri,7
cell phone batteri purchas review,29
batteri look perform,18
perfect,7
veri good headset,15
compat phone,11
ship quick,9
buy handsfre set,14
terribl flaw design,17
nice product,11
soni ericsson cell phone earpiec,28
great round purchas,17
ear bud size uncomfort wast money,28
aluminum case belt clip fail f,25
great slick way lose phone,22
mani case,8
bad product given realiti headset,29
cheapli made,11
work,4
mediocr product,14
fit like,7
must audio accessori treo owner,27
reliabl,7
doe promis buy anoth one,20
work well bit bulki,16
broke treo,9
final found adapt work,19
work,4
good stuff,9
complaint,9
doe job,6
work promis general well,21
bulki come loo better option,24
use treo mp player,15
work,4
work,4
ok,2
care damag headset jack,20
neccesari evil,13
work well bought bought year ago,27
work treo w,9
work great,9
great,5
nice,4
net servic good product never deliv,30
best rate,8
small phone,10
stylish great otherwis,20
plea,4
soni drbt,8
highest qualiti bluetooth headphon ever use,38
best bluetooth headphon,21
great headphon,13
mdr v upgrad,10
good fit good qualiti,18
great headphon,13
runner review,12
soni drbt headphon,16
big ear offic use,14
simpli amaz,10
great ipad mac,12
work iphon ipad imac,17
soni bluetooth headphon,21
frame break ear piec,17
fine work,8
great headset server room,22
great headphon,13
awesom phone,11
amaz sound qualiti thin air,23
uncomfort lousi sound,19
uncomfort,9
poor audio qualiti plus problem vista,32
anim,4
wast money,9
weak sound volum control noth,25
fun,3
defect design,12
worth,5
soni bluetooth,13
tight darn love everyth except tight,31
best stereo bluetooth better hign end headphon,40
great sound,10
wireless,8
excel headset,12
broke,5
work like champ,13
good headset,11
sweet,5
wow,3
ear cup small command button loo make nois walk,39
want rock,8
great headset,12
love new headphon,15
soni stereo bluetooth headset dr bt sound great,40
satisfi everi way,15
realli close perfect,18
perfect,7
good headphon bluetooth pain,25
skype ipad,9
good sound easili break,20
decent sound talk bad bad sound isol,30
excel featur qualiti devic,23
drbt review feedback,18
excel product,12
six month go strong,16
better expect,12
great headphon,13
love thing,9
excel,5
veri plea,8
work great onli activ bluetooth devic,32
great music listen poor microphon,29
drbt mac,7
love sound great perform made ipod,29
worth everi penni,15
qualiti product drawback,22
great sound decent rang,20
nice headphon piti bluetooth,25
work earmuff,11
return work,10
work great two year,16
solid handsfre headphon,21
phone ok mic horribl,17
overal great bluetooth headphon,28
bueno audifono,13
like headphon,12
love item,8
one favorit purchas recent year,27
perfect music star possibl,23
awesom sound,11
veri good,8
great bluetooth,14
great wonder,11
well made product excel sq,22
overal great product,18
good wireless,12
comfort sound great,17
fantast price,12
bought use iphon g manhattan ny,26
amaz headphon,12
soni headphon,12
veri nice price,13
perfect exceed expect,19
much better soni drbt blk,21
awesom headset,13
perfect,7
great headset,12
great bluetooth stereo headphon,28
great noisi environ el kinda suck,28
free superior sound wire,21
convert high end ear bud soni drbt,28
watch movi,9
wireless headphon good sound qualiti,32
great wireless awesom sound qualiti,31
great pc,7
wireless v sound qualiti,21
recommend blackberri curv owner,28
great phone xp vista,17
high low mac,10
impress,7
great headset,12
best headphon iphon,17
want use headphon time,19
thing quit good far,16
good headphon function broken iphon,31
realli good sound comfort,22
excel bluetooth headset,21
hifi stereo music sound qualiti bluetooth,36
good fidel,9
work,4
uncomfort mac compat,18
wireless headphon get,19
bluetooth wirefre awesom,22
bluetooth headset plea audiophil,29
whi wire realli need,17
ok problem,9
excel buy money,13
basic perfect,12
great iphon ipad,14
great comfort audio qualiti poor microphon,37
major problem pair mac,19
pretti good headset like wear hat,28
iphon,5
okay would buy though,18
may comfort,10
soni bluetooth headset excel sound,30
nice headphon,12
decent best,10
disappoint,10
ok good option iphon,17
soni headphon,12
work great iphon g,15
great bargain,12
nice sound batteri could use pad,27
great audio microphon littl snug,28
great headset work,16
inject music direct head,21
great sound comfi hot,18
excel product use iphon g,21
ear cup smaller appear pictur,25
good headphon,12
good headset,11
first impress simpli awesom,24
seem ok could better price,22
best bang buck,12
dr bt,4
exact look,9
v charger v,9
great bluetooth headphon,22
great listen terribl speak,23
great product servic,18
outstand sound qualiti,20
great wireless ipod headphon,25
comfort recharg bluetooth,23
final found good wireless headset,29
soni wireless headphon,20
amaz sound,9
headphon good come back review,26
bluetooth lemon,14
work nice ipad best bluetooth option found,36
great conveni ultim sound qualiti,29
smaller look,11
poor product buy,14
iphon p wireless ear headphon,25
soni drbt stereo bluetooth headset fair fli,37
good perfect,11
drbt real good bluetooth headphon,29
great ipad headset,16
great sound microphon useless,26
flaki recept uncomfort,20
dead arriv next set work alright,27
great item onli moder perfom,24
fantast qualiti,14
good bluetooth onli,17
privat comfort wireless,21
nice headphon,12
wish possibl rate,15
sound qualiti surpris,19
excel product mar flimsi design poor charg,36
veri uncomfort,13
poor construct,13
excel easi connect great product,28
headset good sound qualiti bad,26
high qualiti design static,23
cga review,9
love headphon,12
ditto audio qualiti wow,20
pato,4
excel,5
great sound qualiti comfort look,28
great sound tricki control,23
great sound poor extern button design,32
full size veri light superb sound conveni,35
great heaphon want lose cord,24
good build qualiti great sound averag rang sound interrupt,50
great sound great match appl product break easili,42
best bluetooth purchas,20
good caveat,10
awesom,6
best choic ear bluetooth stereo headset headphon,42
great listen speak,16
real sound gift,13
bewar latenc pitch tempo shift,26
great qualiti great sound,22
great watch movi,14
perfect,7
realli good sound,15
best solut p,10
buy headset look use microphon,26
great sound,10
excel work vista dell blackberri pearl,33
magnific headset,15
great sound could lot comfort,25
great sound great headset,22
easi setup great qualiti,21
great bluetooth headphon,22
soni well,8
excel headphon great price,23
buy drbt instead mess,18
problem pair macbook pro snow leopard,32
lightweight comfort great sound,28
nice headphon terribl microphon,28
comfort qualiti bluetooth,23
veri good good,12
excel bluetooth headphon,22
excel product complaint,21
great sound great headset,22
first impress see updat,20
satisfi,7
yeah ok,6
major flaw,9
intermitt sound,14
month broke,10
best bluetooth headset know,24
overal great product,18
great sound freedom cord,21
excel far,8
cool,4
qualiti sound sound bit kit,23
comfort expect,13
great sound,10
realli good sound,15
mani flaw,8
awesom,6
great wireless headphon buy,24
excel soni headset mac user,23
small tight,10
great headphon minor issu,22
perfect,7
simpli brilliant,15
excel bluetooth headset nd set,26
impress,7
great headphon,13
great headset,12
bad mic,6
bewar,5
veri disappoint,14
awesom sound great featur work iphon g o,33
iphon itouch user pro con,21
talk,4
good sound comfort headphon difficult control,40
awsom sound bad microphon,22
comfort good sound volum button well design,37
nice headphon,12
die hard headphon,15
good valu money,13
definit worth money work surpris well,32
freedom wire,11
drop like crazi ipad g,18
soni non earbud,13
perfect need,11
better bluetooth headset soni,26
pspgo gogogo,11
final wireless street style,24
still compromis get better,23
best choic,9
pretti good compar jabra bt logitech freepuls,39
nice sound long last good fit,24
soni headset,11
superb bluetooth headphon headset,30
soni drbt g b,10
poor design fit,13
soni drbt g b bluetooth headphon,27
great headphon,13
sound horribl price,17
den metropolitan area,19
great product,12
return,6
articulo malo,12
nice sound long last,17
awesom headphon,14
nice headset could better,22
care buy use item,14
price rang beat,13
best tri,7
music handi earmuff,17
excel count,10
work great iphon,14
veri surpris,11
awesom product,13
good product,11
work realli good,14
great headset,12
sweet headphon plus wire,21
great product relat new technolog,29
great product,12
pretti good,10
excel headphon,13
work perfect use,14
perfect headset listen music pc,27
three star right,14
best stereo bluetooth headset,26
giant land midget,15
doe everyth need,14
good valu bluetooth headset headphon imac iphon,41
veri good headset buy money,23
great headphon,13
wireless headset onli way excercis,30
excel product,12
uncomfort music skip broken month,29
recommend,9
cut constant,11
great headphon last,17
averag head set,13
realli good,10
good headphon much ambient nois,27
uncomfort,9
outdoor usag,11
mute background nois loud oversight,31
solid product intend larger head,28
perform well much better motorola hd,31
blown away,9
awesom headphon,14
superb headset pricepoint,23
good ipad,8
work ok,6
great sound poor recept,20
veri cool,8
snug work,8
product,7
fantast valu,11
veri nice flip phone,17
crap,4
look great,9
cute,4
expect,6
excel case,9
look good veri hard leather,23
well design holster everi razr need one,33
belt clip,8
inexpens cheap,13
face swivel belt clip holster motorola razr,37
great price great product,22
best,4
simpl easi,9
well design fault,15
doe work well,11
good product,11
best ever spent cell phone accessori,31
phone holder,11
well made hold secur need hand use,28
great clip,9
qqq,3
happi q,6
also function nightlight,22
broke still work,14
nice travel charger,17
qualiti unassur,14
nice trvele home,14
nice,4
recommend frequent user,21
work great,9
complet garbag,13
great batteri,12
mayb onli right ear,16
great system prepar profession instal purchas addit adaptor,52
motorola bluetooth music car kit,28
got,3
initi work great easili defect,26
good item bad follow,17
onc instal correct work great,25
far good,7
bother unless rca jack,19
research befor buy,16
motorola,8
disappoint,10
nice system,10
excel unit,9
realli phenomin sound qualiti,26
honda odessey,12
nice product terribl tech support,29
april fool,9
awesom,6
want music interfac,17
okay,4
motorola bluetooth amazon,23
work nomad zen firewir usb version,29
doe job could better,17
wast money,9
absolut problem,14
awesom phone,11
nice phone far,12
closest perfect cell phone ever seen,31
awesom phone,11
quit satisfi,11
outstand cell phone,17
like,4
veri good phone,13
lg vx,4
good phone almost great,20
phone nice,9
even consid phone,15
great phone,10
veri function,12
love hate relationship,20
long term review,14
great phone clumsi peopl,21
beauti use,9
overal bad choic,14
minor gripe asid veri sexi function fliptop phone lg,44
great phone,10
great phone high recommend,23
improv,6
honest review actual vx owner,25
awesom,6
better razr,10
love phone,9
veri practic phone,16
better chocol,12
short simpl review,16
slick slim clear altern bore razor,29
great phone,10
bought motorola razr,18
loud hard read annoy speakerphon,28
aw flimsi phone,13
bewar bluetooth,14
charger port wimpi,16
built tough weak sound,19
love phone name stanley,20
love phone,9
lg vx flip phone,13
love,4
nice design size,14
great phone whi stopwatch timer,27
great phone,10
look nice terribl recept,21
tri tracfon instead,17
satisfi,7
best case galaxi note,18
want,4
strong good look case stay place,27
well done,8
pretti good case,14
good design perfect fit use,23
thinner,7
perfect fit,10
total satisfact,14
love,4
perfect case,11
great case,9
great case,9
overpr underwhelm,16
el mejor case para el galaxi note,27
veri nice littl case,17
perfect case amaz,15
excel case,9
uniqu high qualiti case,20
sleek look case,13
best galaxi note case far,21
veri nice case,12
boxwav unicolor samsung galaxi note case,35
absolut brilliant,16
doe mix well denim,15
excel case,9
love,4
appear star actual star worthi,26
wast case,8
awesom galaxi note case,20
awesom,6
perfect,7
great minimalist tpu case,22
one moth still excel buy,20
final case dream,14
boxwav case white,15
great case like abl see,19
great case note,13
make phone way easier hold,22
strong protect,13
love,4
good qualiti case,15
much better price would indic,25
best case ever,12
great case white rim stay white,26
samsung ear headset,17
veri weak,8
lovin silicon,12
best case found yet,16
okay good origin,14
love,4
effect,6
cheapli made expect,17
pink silicon skin,15
silicon case review,17
good buy,7
yeah pink,8
smartphon stylus,15
charger,7
broken week,10
amaz cheap,9
work well smaller manufactur version,32
desper phone call ten hour futur,27
great item,9
doe latch phone,13
great valu,9
great price,10
charger,7
busi bargaincel,14
work fine,8
absolut junk moto v,16
motorola snn batteri,18
great extra protect,17
great gift idea,13
essenti,7
perfect,7
motorola batteri,15
quick lost recharg abil,20
use product,10
read descript care,16
great case katana dlx,18
great motorola ear bud,19
great fit,8
excel choic,10
look feel fine,12
good product,11
excel case,9
short life,9
sturdi cute,10
pictur,6
though would,11
cellet stingray case,18
much better rim oem holster,23
function great price,18
look elsewher,12
poor fit,7
one best,7
great headset great price,22
work good pantech breez cell phone,29
veri good clariti,15
ad bass cell phone great cordless phone,33
good deal,8
doe fit blackberri,16
lovin littl babi,14
averag headset,13
good,4
good price,9
like,4
simpl product great use,20
jabra c,6
horribl custom servic,19
good sound fragil,15
one two unit defect,16
anoth bad product,15
averag,6
clear durabl,11
great certain phone true stereo,27
love,4
good best,8
advertis,8
excel ear set,11
onli work coupl week,17
expect,6
jabra stereo earbud,17
best pair headphon ani mm phone,26
dissappoint product,18
horrend feedback,15
compat,6
great buy,8
stereo headphon w mic bad,21
bewar clone get retail product,26
superb,6
good sound compat phone,20
jabra c,6
good great,9
pretti alright,13
work great v,10
great mp phone laptop,18
decent except lil weak design,25
poor qualiti,11
jabra c decent sound fulli compat,28
jabra earbud,11
work great,9
review usag palm treo,18
find better price,15
compat,6
one earbud doe work,16
great deal le,11
work great six month mayb,21
work great iphon g,15
best headphon,12
use htc,6
comfort tri,10
onli stereo mp play phone,21
wonder surpris good qualiti price,29
great headphon work,17
great earbud,11
good product sound qualiti fell short,32
need adapt exist phone,19
comfort,7
great headset lg phone,19
plus minus,9
excel,5
exact need,9
good price,9
far great vx,10
great product,12
outstand,8
uncomfort,9
doe work stereo mode,17
great,5
best option stereo lg chocol,24
great sound littl money,20
product doe work right,19
mono sound,9
great,5
final stereo headphon cell fall,27
good usb drive need power,21
second one,9
caveat retract power larger devic extern drive,40
veri conveni,11
great buy,8
well made durabl veri conveni,25
handiest cabl bag,15
tangl free brief case,18
fals advertis,12
fit samsung phone,15
seem good,8
happi,5
brilliant copi,13
ok price,7
great item,9
great idea,9
xbox control charger cabl,22
excel,5
ill fit cheap knock work,20
good altern name brand,19
bad product,10
xbox charg play cord,17
cabl charg batteri,16
work,4
work becaus made cheap,19
doe suppos,9
altern charg control,18
get brand name,12
great buy outstand valu,20
bc,2
good batteri,11
good batteri,11
fast deliveri,12
product promis,13
bc batteri,9
delight satisfi,14
worthless batteri,16
motorola batteri,15
cell phone batteri,16
good product great price,21
batteri motorola z,16
love,4
best sercic,10
batteri work well,15
anoth satisfi custom,18
great product,12
perfect good batteri price store,28
great deal,9
like new cell phone,16
motorola bc batteri,17
work great,9
love,4
work great,9
work,4
recharg batteri two day,20
pretti good price,15
far good,7
motorola bc,10
batteri,7
great replac batteri,18
good product prompt deliveri,25
coustom servic,13
work like,8
batteri last le month,18
unhappi camper,13
work like origin,14
work well,8
batteri,7
gambl,5
fast simpl,9
low batteri warn,14
bargain,7
great servic,11
great buy,8
batteri,7
motorola batteri bc,17
krzr batteri,11
want want,8
cellphon batteri,15
batteri work perfect,18
quick ship vendor,15
batteri suppos,13
must old batteri,14
seller sent dead batteri call voicemail full seller name vibe cellular,60
unbeliev valu,12
worst batteri,12
old use doe hold charg,18
product doe work,14
happi cheapskat,14
batteri total dead help,20
bad batteri,10
hold charg,9
custom mount work,15
bulki,5
work good,8
work,4
soni ericsson case,16
work great sandisk fuze,20
nice upgrad exist nextel user,25
great item dont buy amazon,22
phone crazi,10
ok phone,7
solid phone nice featur ea use,25
cool featur way fragil,19
great phone far,13
workman phone,12
nextel problem,13
great fit perfect design,21
great batteri,12
work veri well v,13
hold charg,9
look good first total die see comment,31
good price,9
batteri review,13
extend life phone,15
geniun motorola batteri,21
work expect,10
old new batteri hold charg,22
good replac batteri,17
disappoint,10
motorola batteri v,16
standbi life good,15
cell phone batteri,16
mayb phone,9
deliv prompt qualiti product,25
batteri work,11
work expect much le alltel want,26
motarola batteri,15
love batteri cherish etern,23
cell phone batteri,16
motorola snn standard li ion batteri v,32
genuin motorola batteri,21
star batteri star godoodad,23
motorola batteri better generic brand,33
replac batteri fine,17
wast money,9
genuin motorola replac v phone,26
good,4
batteri work,11
phone batteri,12
far good,7
work fine,8
work well,8
doe work,7
charger doe work,14
cell phone charger fit,19
hand free button ear piec,21
worthless doe work treo,20
work great treo,13
doe work handspr treo,18
great case,9
sure true plantron,16
bought,6
great adapt,10
great,5
fine adapt,9
expens includ,12
doe work mp,9
sound like,9
work great treo,13
work stereo,10
work well,8
doe suppos stereo,15
palm treo headphon adapt,21
way go,5
wast necess,10
ok go year,8
care damag headset jack,20
fraud bewar,10
case doe work,11
anycom bluetooth headphon,23
current model,12
work well time,12
bad egg,6
decent palm centro even audio gateway,32
great blue tooth head phone work ubuntu linux,38
never work,9
awesom,6
unchain,7
much static nois,14
littl item,9
great headphon,13
buy ipaq use,10
right batteri,12
thank deal,9
dirt cheap good,13
terribl batteri life,18
motorola batteri go extend,23
doe work old moto q phone,20
old product brought back life,25
charg,5
aftermarket work like origin,25
batteri doe job,13
quickish ship work,16
batteri recommend old,19
averag best,10
replac batteri worth money,23
motorola li ion batteri q,21
good money,9
motorola ion batteri motorola q,27
contempl buy batteri,18
batteri life,11
want star overal,14
great phone bad phone co,20
att realli bad,12
excel walkman phone,17
rug,3
way radio non compat,17
innov,5
doe advertis,11
poor qualiti,11
want,4
best market,10
mike back park amp ground spec,25
last,4
crack,5
bubba,5
nokia n,6
good phone,9
great bluetooth phone voip headset,30
vista driver support,18
best bluetooth headset skype mobil phone,35
best bluetooth headset convert,27
great skype mobil headset,22
great product,12
best best,8
satisifi lesson learn,19
plantron audio headset,20
great product,12
easi set,7
bit disappoint,13
best bluetooth headset bleh,24
good sound difficult keep ear,25
internet mobil bluetooth,22
veri flexibl qualiti product,25
doe deliv,8
work well,8
one word awesom,13
work great bought two gift,22
bad news bluetooth,16
great mobil,10
veri good qualiti,15
excel option,11
great sound qualiti easi setup use,29
great headset,12
bluetooth headset,16
excellenct technolog,19
quit good advertis,16
great product littl pricey,23
excel product,12
work fine,8
good buy,7
vista driver rang near foot,23
good product,11
sam vpc veri durabl,16
bad buy nokia ad adapt,18
awesom adapt music,16
ad deliv great recept,18
work advertis,12
earbud final histori,18
good product doe,14
work great wish bluetooth,22
bad,3
pretti good money,15
veri use,7
bad price,8
doe suppos,9
work great caveat,15
perfect,7
great item great sound qualiti music call mic work great car rf interfer isol,64
nice,4
typic propriatari nokia garbag,27
must,4
final got look,12
n,1
bought nokia,11
worth price,10
motorola v phone net,17
good phone poor servic,19
pretti happi,11
warranti warranti,16
defect product custom servic runaround,34
phone year,9
ok phone,7
best prepaid cell phone,20
net horribl stay away,18
good servic let phone get stolen,27
phone get bad rap,14
excel basic phone unrealist price amazon,35
good phone crazi price bad servic net,31
horribl price,12
good onc phone use,15
buy phone,8
phone suck,9
worst custom servic ever,21
ok,2
good littl phone,14
work fine,8
worst custom servic,17
work fine,8
realli person employ custom servic,30
stop insan,9
frustrat even servic yet,21
insan name net custom servic outsourc beliz ca,39
plea far,7
net custom servic,15
blackberri pearl clear cover work well,33
great,5
happi custom,11
case,4
great tool,9
easi use,7
motorola disk,12
work describ,11
good expect,10
bad lot updat,11
softwar stink,12
disappoint,10
good cheap mean inexpens,21
poor,4
buy,3
handi slow,9
bad,3
great product,12
ugggh,5
good,4
phone softwar,12
product softwar defect,20
still download photo,18
work perfect,11
motorola phone tool origin motorola cabl,35
great tool moto razr v xx pain instal,30
great valu,9
help,4
dont buy seller,13
great deal,9
advertis,8
excel buy work perfect,19
great deal great product,21
doe work yet,10
complet satisfi mayb littl,23
full featur v c,12
love,4
work great easi use,16
sheesh,6
onli way transfer pic razr comput,28
work krzr k,9
phone tool cheap,14
veri satisfi,11
great valu,9
read applic care doe work razr,25
phone tool work fine,17
motorola phone tool,17
excel,5
doe work v,8
pretti cool phone onc u get work,26
cool multimedia devic phone,24
love bucket bos,13
good phone holster,16
best phone holster ever purchas,27
veri good quit dunno,17
great item,9
doe suppos,9
excel holder price,16
ok,2
simpl easi,9
veri handi cordless phone pouch,27
best,4
exact need,9
good qualiti realli help carri phone clip suppli task,45
multipurpos strong,17
easi use,7
work rather big,13
great product,12
would know,9
petit headset,12
look good work well overal much nois,30
mediocr product,14
onli one work bad power suppli,25
great case cheap,14
perfect case,11
fit well make phone le slipperi,26
husband,7
pictur,6
great product fit phone well,24
bad,3
fit phone,8
veri nice sleek cover clunki belt clip attach,38
horribl star could,16
soni ericcson p case,17
veri good littl expens,19
car charger,10
great price,10
batteri great purchas,19
great valu,9
awesom headset,13
luv,3
love,4
great headphon,13
great sound great price,20
comfort excel sound,17
love,4
love,4
miss much,8
worst headset,12
tri yet,6
great sound,10
good altern bluetooth headset,26
worthless headset,16
buy spend littl bit want someth work well,34
hand free cell phone use,20
doe work v,8
veri good headset,15
handsfre headset,15
headset crap,11
hand free headset,15
frigid awesom,12
remark devic veri close star,24
two month qualiti problem,22
phone good plan suck,17
phone trash,10
phone function side effect,23
awesom smart phone,16
lot capabl slow well thought,24
buy phone,8
freez alot,9
dedic palm user,13
worth upgrad,11
great phone work tomtom,20
excel phone excel price,20
great phone big catch cingular servic,32
best phone ever,13
excel smart phone,15
good bit pricey,13
well execut ppc phone,18
good bad,7
amaz,4
great phone better treo,20
wonder phone,11
excel phone power user,19
veri nice impract,15
veri capabl veri happi,19
quirki worth troubl,17
great phone great price amazon,26
great phone,10
love love love,12
good could better,15
good devic horribl tech support,27
star form featur durabl support,27
bewar purchas phone,17
cancel order,11
readi prime time,14
imposs upgrad phone,17
could half thick,14
wast day,7
use skype phone,13
everyth promis except,19
cumbersom pda phone,17
great phone,10
cingular exceed expect,20
wait,4
pain use,7
left att becaus phone buy phone,26
longtim pda phone user observ,25
year late review,14
best pda phone ever made,20
great devic satisfi phone part,26
great ppc phone,13
window devic,11
great phone charg half way day,25
wow,3
six star,7
cababl though unfri,17
worth hold,9
confirm cancel data plan invalid rebat,33
great month downhil,17
great toy work expect,18
terribl product,14
best pda avail,12
solid phone way overr,18
return cingular,14
mini touch screen laptop best phone year,34
clunki work day,13
slow,4
batteri life horrif,17
buy,3
excel phone pda combo,18
buy,3
reboot citi,10
overal good phone,15
worth extra,10
amaz cell phone,13
great phone perform promis,23
mix review,9
veri well made phone,17
regret whatsoev,14
galaxi siii cover case,19
danger avoid compani,18
hold charg,9
great valu,9
lg c batteri,10
work fine,8
lg c batteri,10
best bargain servic amazon,23
great littl batteri,17
bargaincel great servic,21
unbeliev save reliabl,19
good servic product,17
rgoff,5
tradeoff,8
great phone lot well round featur,28
excel phone money,15
good valu,8
veri good basic phone problem,25
good,4
wrong phone,10
junk,4
absolut hate piec junk,19
issu model,9
bad choic,8
lousi phone,10
bluetooth connect,16
phone make loud annoy sound startup shutdown,38
form fit case match purs,20
great case,9
great case,9
good case hiptop,14
stylish handi,12
littl style littl secur,20
look cool work well,16
great case,9
buyer bewar could flush money right toilet,36
updat great way destroy sidekick,28
great case,9
sidekick fit backward,19
work need smaller,15
great way destroy sidekick,23
good product,11
good belt clip,12
freebi,6
impress,7
addendum,8
work well,8
sidekick ii,10
side pouch,9
danger neopren side pouch mobil sidekick phone blac,44
good protect hold,15
phone protect,12
work ericsson well,16
work ericsson well,16
bad qualiti cheap,15
horribl cheap,12
color expect,11
excel,5
broken within month,17
absolut worthless,16
worst,5
ericsson r lx,11
cell phone batteri,16
believ paid almost piec junk,24
water damag,10
love phone,9
cant use,7
good phone great price,19
broke four month,14
great product amaz buy,19
unlock phone,11
work great,9
pride right,10
angri custom,11
phone lost stolen list verizon,26
work mobil,9
worst purchas ever,16
worst phone everat,16
great compani,12
raw deal cannot get web access requir data free,39
horribl,7
blackberri e review,17
complet crap dont buy,18
great price great phone,20
suspend phone support verizon,26
blackberri review,16
great phone price,15
great phone,10
work,4
buy,3
cellet motorola razr v solid pink proguard,36
case case,8
doe fit,6
